Timestamp,SC,TO,Action,Activity,Location,Duration
2024-11-14 10:29:58,SC007,TO_CO_TFTU000013,DROP,driving,to WS012.01,124
2024-11-14 10:29:58,SC020,TO_CO_TFTU000004,DROP,arriving,at YARD001.19,67
2024-11-14 10:29:58,SC020,TO_CO_TFTU000004,DROP,working,at YARD001.19,60
2024-11-14 10:30:05,SC017,TO_CO_TFTU000016,DROP,working,at WS010.01,60
2024-11-14 10:30:06,SC017,TO_CO_TFTU000016,DROP,arriving,at WS010.01,88
2024-11-14 10:30:07,SC005,TO_CO_TFTU000019,PICK,finished,at QC003,0
2024-11-14 10:30:07,SC005,TO_CO_TFTU000019,DROP,driving,to YARD001.55,67
2024-11-14 10:30:07,SC002,TO_CO_TFTU000023,PICK,waited,at QC003,158
2024-11-14 10:30:07,SC002,TO_CO_TFTU000023,PICK,working,at QC003,60
2024-11-14 10:30:09,SC003,TO_CO_TFTU000020,PICK,finished,at QC003,0
2024-11-14 10:30:09,SC003,TO_CO_TFTU000020,DROP,driving,to YARD001.36,33
2024-11-14 10:30:09,SC001,TO_CO_TFTU000018,PICK,waited,at QC003,158
2024-11-14 10:30:09,SC001,TO_CO_TFTU000018,PICK,working,at QC003,60
2024-11-14 10:30:20,SC019,TO_CO_TFTU000002,DROP,arriving,at WS012.01,106
2024-11-14 10:30:20,SC019,TO_CO_TFTU000002,DROP,working,at WS012.01,60
2024-11-14 10:30:22,SC014,TO_CO_TFTU000005,DROP,finished,at YARD001.59,0
2024-11-14 10:30:22,SC014,TO_CO_TFTU000038,PICK,driving,to QC007,13
2024-11-14 10:30:23,SC013,TO_CO_TFTU000007,DROP,finished,at WS007.01,0
2024-11-14 10:30:23,SC013,TO_CO_TFTU000046,PICK,driving,to QC003,74
2024-11-14 10:30:23,SC010,TO_CO_TFTU000008,DROP,arriving,at WS007.01,74
2024-11-14 10:30:23,SC010,TO_CO_TFTU000008,DROP,working,at WS007.01,60
2024-11-14 10:30:34,SC006,TO_CO_TFTU000010,PICK,finished,at QC005,0
2024-11-14 10:30:34,SC006,TO_CO_TFTU000010,DROP,driving,to WS015.01,133
2024-11-14 10:30:35,SC011,TO_CO_TFTU000017,DROP,arriving,at WS007.01,61
2024-11-14 10:30:35,SC014,TO_CO_TFTU000038,PICK,arriving,at QC007,13
2024-11-14 10:30:35,SC014,TO_CO_TFTU000038,PICK,working,at QC007,60
2024-11-14 10:30:39,SC004,TO_CO_TFTU000001,DROP,finished,at WS007.01,0
2024-11-14 10:30:39,SC004,TO_CO_TFTU000047,PICK,driving,to QC005,61
2024-11-14 10:30:39,SC011,TO_CO_TFTU000017,DROP,waited,at WS007.01,4
2024-11-14 10:30:39,SC011,TO_CO_TFTU000017,DROP,working,at WS007.01,60
2024-11-14 10:30:40,SC012,TO_CO_TFTU000006,DROP,finished,at YARD001.36,0
2024-11-14 10:30:40,SC012,TO_CO_TFTU000024,PICK,driving,to QC005,18
2024-11-14 10:30:42,SC003,TO_CO_TFTU000020,DROP,arriving,at YARD001.36,33
2024-11-14 10:30:42,SC003,TO_CO_TFTU000020,DROP,working,at YARD001.36,60
2024-11-14 10:30:42,SC015,TO_CO_TFTU000012,DROP,working,at WS002.01,60
2024-11-14 10:30:43,SC015,TO_CO_TFTU000012,DROP,arriving,at WS002.01,52
2024-11-14 10:30:58,SC020,TO_CO_TFTU000004,DROP,finished,at YARD001.19,0
2024-11-14 10:30:58,SC020,TO_CO_TFTU000034,PICK,driving,to QC003,13
2024-11-14 10:30:58,SC012,TO_CO_TFTU000024,PICK,arriving,at QC005,18
2024-11-14 10:30:59,SC012,TO_CO_TFTU000024,PICK,working,at QC005,61
2024-11-14 10:31:05,SC017,TO_CO_TFTU000016,DROP,finished,at WS010.01,0
2024-11-14 10:31:05,SC017,TO_CO_TFTU000029,PICK,driving,to RAIL001.76,92
2024-11-14 10:31:07,SC002,TO_CO_TFTU000023,PICK,finished,at QC003,0
2024-11-14 10:31:07,SC002,TO_CO_TFTU000023,DROP,driving,to WS015.01,146
2024-11-14 10:31:09,SC001,TO_CO_TFTU000018,PICK,finished,at QC003,0
2024-11-14 10:31:09,SC001,TO_CO_TFTU000018,DROP,driving,to WS012.01,119
2024-11-14 10:31:11,SC020,TO_CO_TFTU000034,PICK,arriving,at QC003,13
2024-11-14 10:31:11,SC020,TO_CO_TFTU000034,PICK,working,at QC003,60
2024-11-14 10:31:14,SC005,TO_CO_TFTU000019,DROP,arriving,at YARD001.55,67
2024-11-14 10:31:14,SC005,TO_CO_TFTU000019,DROP,working,at YARD001.55,60
2024-11-14 10:31:20,SC019,TO_CO_TFTU000002,DROP,finished,at WS012.01,0
2024-11-14 10:31:20,SC019,TO_CO_TFTU000056,PICK,driving,to QC004,101
2024-11-14 10:31:23,SC010,TO_CO_TFTU000008,DROP,finished,at WS007.01,0
2024-11-14 10:31:23,SC010,TO_CO_TFTU000026,PICK,driving,to QC006,79
2024-11-14 10:31:28,SC016,TO_CO_TFTU000003,DROP,working,at WS015.01,60
2024-11-14 10:31:29,SC016,TO_CO_TFTU000003,DROP,arriving,at WS015.01,151
2024-11-14 10:31:32,SC008,TO_CO_TFTU000011,DROP,working,at WS013.01,60
2024-11-14 10:31:33,SC008,TO_CO_TFTU000011,DROP,arriving,at WS013.01,115
2024-11-14 10:31:35,SC014,TO_CO_TFTU000038,PICK,finished,at QC007,0
2024-11-14 10:31:35,SC014,TO_CO_TFTU000038,DROP,driving,to WS004.01,88
2024-11-14 10:31:37,SC013,TO_CO_TFTU000046,PICK,arriving,at QC003,74
2024-11-14 10:31:37,SC013,TO_CO_TFTU000046,PICK,working,at QC003,60
2024-11-14 10:31:40,SC011,TO_CO_TFTU000017,DROP,finished,at WS007.01,0
2024-11-14 10:31:40,SC011,TO_CO_TFTU000052,PICK,driving,to QC005,61
2024-11-14 10:31:40,SC004,TO_CO_TFTU000047,PICK,arriving,at QC005,61
2024-11-14 10:31:40,SC004,TO_CO_TFTU000047,PICK,working,at QC005,60
