SC,TO,Action,Location,timestamp_start,timestamp_end,duration_visit
SC017,TO_CO_TFTU000065,DROP,at WS004.01,2024-11-14 10:39:16,2024-11-14 10:40:16,0 days 00:01:00
SC016,TO_CO_TFTU000096,PICK,at QC003,2024-11-14 10:39:19,2024-11-14 10:40:19,0 days 00:01:00
SC020,TO_CO_TFTU000031,DROP,at WS012.01,2024-11-14 10:39:27,2024-11-14 10:40:27,0 days 00:01:00
SC002,TO_CO_TFTU000085,DROP,at WS003.01,2024-11-14 10:39:27,2024-11-14 10:40:27,0 days 00:01:00
SC014,TO_CO_TFTU000104,PICK,at QC005,2024-11-14 10:39:31,2024-11-14 10:40:50,0 days 00:01:19
SC011,TO_CO_TFTU000103,PICK,at QC003,2024-11-14 10:39:45,2024-11-14 10:40:45,0 days 00:01:00
SC006,TO_CO_TFTU000095,PICK,at QC003,2024-11-14 10:39:54,2024-11-14 10:41:19,0 days 00:01:25
SC012,TO_CO_TFTU000086,DROP,at WS002.01,2024-11-14 10:39:59,2024-11-14 10:40:59,0 days 00:01:00
SC008,TO_CO_TFTU000039,DROP,at WS003.01,2024-11-14 10:40:12,2024-11-14 10:41:12,0 days 00:01:00
SC007,TO_CO_TFTU000089,DROP,at YARD001.44,2024-11-14 10:40:14,2024-11-14 10:41:15,0 days 00:01:01
SC001,TO_CO_TFTU000080,PICK,at QC001,2024-11-14 10:40:16,2024-11-14 10:41:16,0 days 00:01:00
SC010,TO_CO_TFTU000100,PICK,at QC005,2024-11-14 10:40:20,2024-11-14 10:41:20,0 days 00:01:00
SC003,TO_CO_TFTU000107,PICK,at QC006,2024-11-14 10:40:26,2024-11-14 10:41:27,0 days 00:01:01
SC019,TO_CO_TFTU000035,DROP,at WS010.01,2024-11-14 10:40:31,2024-11-14 10:41:30,0 days 00:00:59
SC013,TO_CO_TFTU000111,PICK,at QC004,2024-11-14 10:40:31,2024-11-14 10:41:31,0 days 00:01:00
SC016,TO_CO_TFTU000096,DROP,at YARD001.27,2024-11-14 10:40:36,2024-11-14 10:41:36,0 days 00:01:00
SC015,TO_CO_TFTU000113,PICK,at QC005,2024-11-14 10:40:38,2024-11-14 10:41:50,0 days 00:01:12
SC009,TO_CO_TFTU000099,PICK,at QC005,2024-11-14 10:40:57,2024-11-14 10:42:21,0 days 00:01:24
SC004,TO_CO_TFTU000062,DROP,at WS002.01,2024-11-14 10:41:02,2024-11-14 10:42:02,0 days 00:01:00
